fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-26,2021,1,1,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,SAN MARTIN,MARISCAL CACERES,HUICUNGO,-7.316294859438296,-76.77509505872386,PE-10B,281.8931118870163
2021-01-26,2021,1,1,0,1,0,ESPECIAL,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,CHUCUITO,DESAGUADERO,-16.58229113,-69.06036235,PE-36A,304.1504491155404
2021-01-26,2021,1,1,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,PUNO,PUNO,PUNO,-15.844639,-70.028528,PE-3S,1363.2088233893262
2021-01-26,2021,1,1,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.20663,-70.921486,PE-36A,6.548956772935778
2021-01-27,2021,1,2,0,1,0,ATROPELLO,IMPRUDENCIA DEL PEATÓN,ASFALTADA,CARRETERA,NACIONAL,TACNA,TACNA,TACNA,-18.00906,-70.231249,PE-40,5.409517533842738
2021-01-27,2021,1,2,0,1,0,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,HUANUCO,PACHITEA,UMARI,-9.833197,-76.065763,PE-18B,5.551272118583772
2021-01-27,2021,1,2,0,1,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.737074,-79.881409,PE-1N,788.9058115146689
2021-01-27,2021,1,2,0,1,0,CHOQUE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LAMBAYEQUE,CHICLAYO,LAGUNAS,-6.985744,-79.629806,PE-1N,742.5255362434823
2021-01-27,2021,1,2,0,1,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,YAULI,PACCHA,-11.4378895,-75.935218,PE-3N,14.030221567769347
2021-01-28,2021,1,3,0,1,1,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,LIMA,LIMA,COMAS,-11.932369,-77.072179,PE-1N,22.61023556582876
2021-01-28,2021,1,3,0,1,4,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PIURA,SECHURA,CRISTO NOS VALGA,-5.573981,-80.580521,PE-1N,949.3825641132436
2021-01-29,2021,1,4,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,AFIRMADO,CARRETERA,NACIONAL,LAMBAYEQUE,CHICLAYO,REQUE,-6.876218,-79.816787,PE-1N,766.9719603708111
2021-01-29,2021,1,4,0,2,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,AFIRMADO,CARRETERA,NACIONAL,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,-6.3407682286398686,-77.50705857466426,PE-08B,398.9924744188873
