id,ruta,km0,km1,region,siniestros,fallecidos,onsv_n,sutran_n,ositran_n,siniestros_km,pred_km,eb_km,exceso_eb,exceso_relativo,p95_region,fuente_dominante,criterios,lat,lon
1288,PE-3S,172.149,172.381,SIERRA,3,3,0,3,0,12.931034482758658,12.931034482758658,12.931034482758658,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.38539821449993,-75.05602464449993
1293,PE-3S,35.123,35.374,SIERRA,7,0,0,7,0,27.888446215138913,27.888446215138913,27.888446215138913,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.72323452799995,-75.75167122499991
1295,PE-3S,74.944,77.493,SIERRA,20,1,1,18,1,7.8462142016477285,7.8462142016477285,7.8462142016477285,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.81337038749993,-75.48979041799993
1134,PE-3SB,0.0,0.048,SIERRA,4,0,0,4,0,83.33333333333333,83.33333333333333,83.33333333333333,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.804123262999951,-75.49000424199991
1305,PE-3S,1312.95,1314.101,SIERRA,8,8,7,0,1,6.950477845351462,6.950477845351462,6.950477845351462,0.0,0.0,5.026490400963105,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-15.471625971499948,-70.13757787299994
1352,PE-5N,10.324,10.415,SELVA,6,0,0,6,0,65.93406593406644,65.93406593406644,65.93406593406644,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.88860456599994,-75.28710762699993
1416,PE-28B,63.744,64.09,SIERRA,4,0,0,4,0,11.560693641618375,11.560693641618375,11.560693641618375,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.946252190999928,-74.02338996549992
1414,PE-1S,3.84,4.088,COSTA,5,112,1,3,1,20.161290322580626,20.161290322580626,20.161290322580626,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.090729627999934,-76.98100505699992
1464,PE-1S,21.526,21.963,COSTA,6,1,1,4,1,13.729977116704768,13.729977116704768,13.729977116704768,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-12.237083301999943,-76.95451019649994
1511,PE-1S,857.387,866.043,SIERRA,44,1000100004,1,17,26,5.083179297597006,5.083179297597006,5.083179297597006,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.548130880999935,-72.57582084649991
1517,PE-1S,937.671,941.661,SIERRA,23,109,4,7,12,5.764411027569073,5.764411027569073,5.764411027569073,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.443923797499934,-71.97828525549994
1458,PE-3N,3.786,3.976,SIERRA,3,0,0,3,0,15.789473684210531,15.789473684210531,15.789473684210531,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.506248801499936,-75.93241167599993
1529,PE-1N,26.375,26.763,COSTA,5,4,4,0,1,12.886597938144273,12.886597938144273,12.886597938144273,0.0,0.0,12.478043810208932,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-11.89824540199993,-77.06778399349992
1632,PE-3N,4.307,4.518,SIERRA,8,0,0,8,0,37.91469194312807,37.91469194312807,37.91469194312807,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.503558777499933,-75.93643112449993
1650,PE-1N,43.887,43.969,COSTA,13,100000000,0,13,0,158.53658536585223,158.53658536585223,158.53658536585223,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.777718760499935,-77.15957010149992
1638,PE-34A,138.538,138.703,SIERRA,5,0,0,4,1,30.303030303031765,30.303030303031765,30.303030303031765,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.977213575999912,-71.24999528099994
1687,PE-22,17.887,19.004,SIERRA,8,7,7,1,0,7.1620411817367895,7.1620411817367895,7.1620411817367895,0.0,0.0,5.026490400963105,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-11.995909690499929,-76.83005619049993
